date,type,category,amount,description,notes,relatedTagNumber,id,createdAt,updatedAt
2024-01-01,expense,Breeding,168000,3 hds Heifer,,,108c150f-f809-4171-b568-944a90934b8a,,
2025-05-01,income,Cattle Sale,90000,Jr. Bull,,,86c3d2d5-1210-4715-8c9b-06995fb6554d,,
2024-01-02,expense,Equipment,22000,Fencing,,,0b04d204-48f9-4997-aed7-3073aad656a4,,
2025-10-01,income,Cattle Sale,58000,1 heifer (249),,,66b42655-229c-48f9-9550-046cf5a8550c,,
2024-01-03,expense,Equipment,5500,Fencing/Housing,,,4b2ad8ba-6306-4425-8bd0-d1bf6cad1da7,,
2024-01-04,expense,Veterinary,6000,Dewormer,,,0222d774-511e-42fe-af4a-0fdff426f6fc,,
2024-01-05,expense,Equipment,40000,Chopper,,,4d2d2a8f-baba-45d1-bd09-a982891da3d0,,
2024-01-06,expense,Feed,3000,Silage bag,,,e751eea6-54ca-4dcc-a120-e1b0caaabb42,,
2024-01-07,expense,Other Expense,13900,"Harvest, Weeding, Planting",,,c04ef480-38e9-4c84-83ae-32961dd9570a,,
2024-01-08,expense,Other Expense,6000,Iti,,,b56d7653-f5aa-40e4-85aa-7c4157d90c73,,
2024-01-09,expense,Breeding,115000,Jr. Bull + Delivery,,,4e54628e-765e-41d1-bfe9-3e59fb6881da,,2026-06-23T18:57:38.383Z
2024-01-10,expense,Feed,10000,Napier cuttings,,,c2bedbc8-c9a4-4d5b-8346-90aa0987007a,,
2024-01-11,expense,Breeding,361000,6 hds Heifer,,,e38a4ba0-76ad-4b4e-9ab0-f872f0172537,,
2024-01-12,expense,Equipment,20000,Bunker,,,85f3063e-321d-4c1a-a14d-7dc058d0c2c3,,
2024-01-13,expense,Equipment,37000,35L AI Tank,,,b82bb7d9-d59c-40a7-882e-48de56832589,,
2024-01-14,expense,Equipment,16000,6L AI tank + AI Gun,,,7598821b-c440-46d6-91d0-c08a6dea2173,,
2024-01-15,expense,Labor,20000,Bunker + Labor,,,9a0a2286-1e3a-4a60-846b-efd220e815e7,,
2024-01-16,expense,Labor,20000,Additional bunker + Labor,,,160df65b-a97c-4c9a-8e60-09f65626d618,,
2024-01-17,expense,Equipment,6000,Robin engine 5hp,,,a0e40428-e503-46e8-9bc7-a116f3475032,,
2024-01-18,expense,Veterinary,15000,"Ivermectin, vitamins, etc.",,,9cf0dd51-7460-4931-9ee7-a3b6f1081aeb,,
2024-08-11,expense,Breeding,150000,Bernales Jr. Bull,,,8ca514b4-e283-4c48-a64e-d13ad454073c,,
2024-08-12,expense,Other Expense,20000,Pineapple Pulp,,,aefa0e4e-7e46-4a34-b014-b5ee6380c4f0,,
2024-08-01,expense,Labor,6000,August Salary,,,1abd47f5-5b4b-4ba7-9764-dce6706b0225,,
2024-09-01,expense,Labor,6000,September Salary,,,70414e7d-7322-4f79-9a23-8fc66a83968a,,
2024-08-15,expense,Labor,12000,October Salary,,,98384212-c69d-40f1-bce5-26769318282a,,
2024-10-10,expense,Other Expense,20000,Pineapple Pulp,,,e1edee7a-9350-4fe1-acb3-167ea07f4605,,
2024-10-31,expense,Feed,13000,Feed materials,,,1d3ead60-570e-4619-b4ec-74178a51d179,,
2024-11-01,expense,Feed,24000,Napier Harvest,,,0340e1d1-84c0-4dd3-961e-96216bd9e441,,
2024-11-02,expense,Labor,12000,November Salary,,,8a592e73-a964-41da-8b49-daa2f8f7987d,,
2024-12-01,expense,Labor,12000,December Salary,,,0f874eab-f3ee-4b18-b5d7-203fff0e68f0,,
2025-01-01,expense,Labor,12000,January Salary,,,838028dc-a5ff-4303-b232-b82e79d3451b,,
